696,189,914,189,914,238,696,238,DIRECTED BY
967,180,1288,180,1288,223,967,223,MARK WALSH
726,278,961,278,961,315,726,315,PRODUCED BY
1034,277,1321,277,1321,316,1034,316,KIM ADAMS
620,369,999,369,999,414,620,414,EXECUTIVE PRODUCER
1025,364,1424,364,1424,404,1025,404,JOHN LASSETER
494,465,997,465,997,506,494,506,TOONS EXECUTIVE PRODUCER
1038,469,1362,469,1362,514,1038,514,KEVIN REHER
616,564,1012,564,1012,609,616,609,PRODUCTION DESIONER
1068,558,1359,558,1359,596,1068,596,BOB PAULEY
829,655,952,655,952,689,829,689,EDITOR
1003,654,1350,654,1350,695,1003,695,AXEL GEDDES
549,742,943,742,943,778,549,778,PRODUCTION MANAGWER
999,731,1332,731,1332,775,999,775,A.J. RIEBLI  III
703,825,1041,825,1041,866,703,866,ORIGINAL SCORE BY
1080,809,1136,809,1136,855,1080,855,BT
