41,52,271,52,271,146,41,146,人民日报
499,115,672,115,672,140,499,140,北京總部記者
499,145,611,145,611,169,499,169,基金在綫
323,195,621,195,621,214,323,214,北京地址:北京市朝陽區建國路118號
77,205,240,205,240,284,77,284,证券
407,216,605,216,605,235,407,235,招商局中心十一層C單元
323,237,632,237,632,256,323,256,總部地址:深圳市福田區彩田路5015號
408,257,515,257,515,275,408,275,中銀大厦17
323,278,484,278,484,297,323,297, http: //www.p5w.net
88,300,237,300,237,368,88,368,时报
324,299,594,299,594,318,324,318, E-mail: stock@public. sZptt net cn
324,320,633,320,633,338,324,338,北京郵編:100022深圳郵編:518026
324,340,496,340,496,360,324,360,電話:(010)65669722
323,362,496,362,496,381,323,381,傳真:(010)65669734
323,382,484,382,484,400,323,400,手機:13910971290
324,403,563,403,563,420,324,420, E-mail: muyu3407@sina.com
394,58,546,58,546,103,394,103,孙晓霞
